date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-01-31,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,infections,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,infections,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,prevalence,5,5,5,5,5,5,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,infections,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-01-31,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0.13,0,1,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,infections,0,0,0,0.13,0,1,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,prevalence,5,5,5,4.98,5,5,Additional 50% Reduction,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0.13,0,1,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,infections,0,0,0,0.13,0,1,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,prevalence,5,5,5,4.98,5,5,Maintain Status Quo,Ireland,IRL,2021-02-10,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Ireland,IRL,2021-02-10,v7,TRUE
