date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-31,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,infections,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Rt,1.74,1.85,1.89,1.9,1.94,2.1,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Reff,1.74,1.85,1.89,1.9,1.94,2.1,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,infections,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,prevalence,5,5,5,5,5,5,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Rt,1.74,1.85,1.89,1.9,1.94,2.1,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Reff,1.74,1.85,1.89,1.9,1.94,2.1,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,infections,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Rt,1.74,1.85,1.89,1.9,1.94,2.1,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Reff,1.74,1.85,1.89,1.9,1.94,2.1,Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Rt,1.75,1.86,1.91,1.91,1.97,2.08,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Reff,1.75,1.86,1.91,1.91,1.97,2.08,Surged Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Rt,1.75,1.86,1.91,1.91,1.97,2.08,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Reff,1.75,1.86,1.91,1.91,1.97,2.08,Surged Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Rt,1.75,1.86,1.91,1.91,1.97,2.08,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-03-31,Reff,1.75,1.86,1.91,1.91,1.97,2.08,Surged Relax Interventions 50%,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,infections,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,Rt,1.74,1.85,1.89,1.9,1.94,2.1,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,Reff,1.74,1.85,1.89,1.9,1.94,2.1,Additional 50% Reduction,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
2020-04-01,infections,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-02-26,v7,TRUE
