date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2021-06-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,infections,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Rt,1.64,1.64,1.64,1.64,1.64,1.64,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Reff,1.64,1.64,1.64,1.64,1.64,1.64,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,infections,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,prevalence,5,5,5,5,5,5,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Rt,2.37,2.37,2.37,2.37,2.37,2.37,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Reff,2.37,2.37,2.37,2.37,2.37,2.37,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,infections,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Rt,3.09,3.09,3.09,3.09,3.09,3.09,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Reff,3.09,3.09,3.09,3.09,3.09,3.09,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Rt,3.09,3.09,3.09,3.09,3.09,3.09,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Reff,3.09,3.09,3.09,3.09,3.09,3.09,Surged Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Rt,3.09,3.09,3.09,3.09,3.09,3.09,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Reff,3.09,3.09,3.09,3.09,3.09,3.09,Surged Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Rt,3.09,3.09,3.09,3.09,3.09,3.09,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-26,Reff,3.09,3.09,3.09,3.09,3.09,3.09,Surged Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,prevalence,5.04,5.04,5.04,5.04,5.04,5.04,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,Rt,1.64,1.64,1.64,1.64,1.64,1.64,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,Reff,1.57,1.57,1.57,1.57,1.57,1.57,Additional 50% Reduction,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,infections,0.62,0.62,0.62,0.62,0.62,0.62,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,prevalence,5.07,5.07,5.07,5.07,5.07,5.07,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,Rt,2.37,2.37,2.37,2.37,2.37,2.37,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,Reff,2.26,2.26,2.26,2.26,2.26,2.26,Maintain Status Quo,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,infections,0.62,0.62,0.62,0.62,0.62,0.62,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
2021-06-27,prevalence,5.11,5.11,5.11,5.11,5.11,5.11,Relax Interventions 50%,Macao,MAC,2021-06-26,v8,FALSE
