date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-05-16,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,infections,0,0,0,0,0,0,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,Rt,1.91,2.09,2.12,2.19,2.24,2.6,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,Reff,1.91,2.09,2.12,2.19,2.24,2.6,Additional 50% Reduction,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,infections,0,0,0,0,0,0,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,prevalence,5,5,5,5,5,5,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
2020-05-16,Rt,1.91,2.09,2.12,2.19,2.24,2.6,Maintain Status Quo,Namibia,NAM,2021-05-16,v8,TRUE
