date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2021-05-22,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,infections,0,0,0,0,0,0,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,prevalence,5,5,5,5,5,5,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Rt,1.2,1.2,1.2,1.2,1.2,1.2,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Reff,1.2,1.2,1.2,1.2,1.2,1.2,Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,infections,0,0,0,0,0,0,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,prevalence,5,5,5,5,5,5,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Rt,1.86,1.86,1.86,1.86,1.86,1.86,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Reff,1.86,1.86,1.86,1.86,1.86,1.86,Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,infections,0,0,0,0,0,0,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,prevalence,5,5,5,5,5,5,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Rt,2.52,2.52,2.52,2.52,2.52,2.52,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Reff,2.52,2.52,2.52,2.52,2.52,2.52,Relax Interventions 50%,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Rt,2.52,2.52,2.52,2.52,2.52,2.52,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,Reff,2.52,2.52,2.52,2.52,2.52,2.52,Surged Additional 50% Reduction,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,infections,0,0,0,0,0,0,Surged Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
2021-05-22,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,North Korea,PRK,2021-05-22,v8,FALSE
