date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,infections,0,0,0,0,0,0,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,Rt,3.07,3.16,3.2,3.2,3.25,3.34,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,Reff,3.07,3.16,3.2,3.2,3.25,3.34,Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,infections,0,0,0,0,0,0,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,prevalence,5,5,5,5,5,5,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,Rt,3.07,3.16,3.2,3.2,3.25,3.34,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,Reff,3.07,3.16,3.2,3.2,3.25,3.34,Maintain Status Quo,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,infections,0,0,0,0,0,0,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,Rt,3.07,3.16,3.2,3.2,3.25,3.34,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,Reff,3.07,3.16,3.2,3.2,3.25,3.34,Relax Interventions 50%,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
2020-02-21,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Montenegro,MNE,2021-01-30,v7,TRUE
