date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,Rt,2.18,2.24,2.27,2.28,2.32,2.38,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,Reff,2.18,2.24,2.27,2.28,2.32,2.38,Additional 50% Reduction,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,Rt,2.18,2.24,2.27,2.28,2.32,2.38,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,Reff,2.18,2.24,2.27,2.28,2.32,2.38,Maintain Status Quo,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-03-12,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-03-12,v7,TRUE
