date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,infections,0,0,0,0,0,0,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,Rt,1.73,1.77,1.8,1.8,1.82,1.85,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,Reff,1.73,1.77,1.8,1.8,1.82,1.85,Additional 50% Reduction,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,infections,0,0,0,0,0,0,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,Rt,1.73,1.77,1.8,1.8,1.82,1.85,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,Reff,1.73,1.77,1.8,1.8,1.82,1.85,Maintain Status Quo,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,infections,0,0,0,0,0,0,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Ethiopia,ETH,2021-01-18,v7,TRUE
