date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-10-28,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,infections,0,0,0,0,0,0,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Rt,1.87,2.06,2.11,2.12,2.18,2.39,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Reff,1.87,2.06,2.11,2.12,2.18,2.39,Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,infections,0,0,0,0,0,0,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,prevalence,5,5,5,5,5,5,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Rt,1.87,2.06,2.11,2.12,2.18,2.39,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Reff,1.87,2.06,2.11,2.12,2.18,2.39,Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,infections,0,0,0,0,0,0,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Rt,1.87,2.06,2.11,2.12,2.18,2.39,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Reff,1.87,2.06,2.11,2.12,2.18,2.39,Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Rt,1.86,2.06,2.12,2.13,2.22,2.3,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Reff,1.86,2.06,2.12,2.13,2.22,2.3,Surged Additional 50% Reduction,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Rt,1.86,2.06,2.12,2.13,2.22,2.3,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,Reff,1.86,2.06,2.12,2.13,2.22,2.3,Surged Maintain Status Quo,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
2020-10-28,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Eritrea,ERI,2021-06-18,v8,TRUE
