date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,Rt,2.35,2.8,2.86,2.82,2.89,2.98,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,Reff,2.35,2.8,2.86,2.82,2.89,2.98,Surged Additional 50% Reduction,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Gambia,GMB,2021-04-24,v7,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Gambia,GMB,2021-04-24,v7,TRUE
