date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-27,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,infections,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,Rt,2.31,2.64,2.93,2.91,3.11,3.64,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,infections,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,Rt,2.31,2.64,2.93,2.91,3.11,3.64,Maintain Status Quo,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,infections,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-27,Rt,2.31,2.64,2.93,2.91,3.11,3.64,Relax Interventions 50%,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,cumulative_infections,1,1,1,1,1,1,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,deaths,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
2020-01-28,infections,1,1,1,1,1,1,Additional 50% Reduction,Azerbaijan,AZE,2020-07-07,v3
