date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-05-25,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,deaths,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,infections,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,deaths,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,infections,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,prevalence,5,5,5,5,5,5,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,deaths,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,infections,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-25,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0.29,0.5,1,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,infections,0,0,0,0.29,0.5,1,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,prevalence,5,5,5,5.21,5,7.43,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,Rt,1.66,1.77,1.89,1.89,1.98,2.14,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,Reff,1.66,1.77,1.89,1.89,1.98,2.14,Additional 50% Reduction,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0.29,0.5,1,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-02-03,v7,TRUE
