date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Rt,4.72,4.85,4.91,4.89,4.96,5,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Reff,4.72,4.85,4.91,4.89,4.96,5,Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Rt,4.72,4.85,4.91,4.89,4.96,5,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Reff,4.72,4.85,4.91,4.89,4.96,5,Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Rt,4.72,4.85,4.91,4.89,4.96,5,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Reff,4.72,4.85,4.91,4.89,4.96,5,Relax Interventions 50%,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Rt,4.7,4.82,4.89,4.88,4.95,5,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,Reff,4.7,4.82,4.89,4.88,4.95,5,Surged Additional 50% Reduction,Netherlands,NLD,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Netherlands,NLD,2021-03-29,v7,TRUE
