date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-03-21,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,infections,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,Rt,3.04,3.25,3.41,3.47,3.67,4.09,Additional 50% Reduction,South Sudan,SSD,2020-07-03,v3
2020-03-21,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,deaths,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,infections,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
2020-03-21,Rt,3.04,3.25,3.41,3.47,3.67,4.09,Maintain Status Quo,South Sudan,SSD,2020-07-03,v3
