date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-01-29,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,infections,0,0,0,0,0,0,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,Rt,3.1,3.23,3.34,3.33,3.42,3.58,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,Reff,3.1,3.23,3.34,3.33,3.42,3.58,Additional 50% Reduction,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
2020-01-29,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Tunisia,TUN,2021-04-24,v7,TRUE
