date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,infections,0,0,0,0,0,0,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,Rt,2.09,2.23,2.3,2.29,2.35,2.42,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,Reff,2.09,2.23,2.3,2.29,2.35,2.42,Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,infections,0,0,0,0,0,0,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,prevalence,5,5,5,5,5,5,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,Rt,2.09,2.23,2.3,2.29,2.35,2.42,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,Reff,2.09,2.23,2.3,2.29,2.35,2.42,Maintain Status Quo,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,infections,0,0,0,0,0,0,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,Rt,2.09,2.23,2.3,2.29,2.35,2.42,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,Reff,2.09,2.23,2.3,2.29,2.35,2.42,Relax Interventions 50%,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Democratic Republic of Congo,COD,2021-02-03,v7,TRUE
