date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,Rt,3.13,3.21,3.25,3.26,3.31,3.45,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,Reff,3.13,3.21,3.25,3.26,3.31,3.45,Additional 50% Reduction,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,Rt,3.13,3.21,3.25,3.26,3.31,3.45,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,Reff,3.13,3.21,3.25,3.26,3.31,3.45,Maintain Status Quo,Poland,POL,2021-02-17,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Poland,POL,2021-02-17,v7,TRUE
