date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-08-21,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,infections,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,deaths,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,infections,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,prevalence,5,5,5,5,5,5,Maintain Status Quo,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-24,v7,TRUE
2020-08-21,deaths,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-24,v7,TRUE
