date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-01,Rt,2.55,2.69,2.74,2.74,2.81,2.94,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Reff,2.55,2.69,2.74,2.74,2.81,2.94,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0.25,0.25,0.92,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,infections,0,0,0,0.25,0.25,0.92,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Rt,2.55,2.69,2.74,2.74,2.81,2.94,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Reff,2.55,2.69,2.74,2.74,2.81,2.94,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0.25,0.25,0.92,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,infections,0,0,0,0.25,0.25,0.92,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Rt,2.55,2.69,2.74,2.74,2.81,2.94,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Reff,2.55,2.69,2.74,2.74,2.81,2.94,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Rt,2.59,2.7,2.75,2.75,2.8,2.91,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Reff,2.59,2.7,2.75,2.75,2.8,2.91,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Rt,2.59,2.7,2.75,2.75,2.8,2.91,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Reff,2.59,2.7,2.75,2.75,2.8,2.91,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Rt,2.59,2.7,2.75,2.75,2.8,2.91,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-01,Reff,2.59,2.7,2.75,2.75,2.8,2.91,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_infections,0,0,0,0.57,1,2,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,infections,0,0,0,0.43,0.5,1.85,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,prevalence,5,5,5,5.11,5,5.8,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Rt,2.55,2.69,2.74,2.74,2.81,2.94,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Reff,2.55,2.69,2.74,2.74,2.81,2.94,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_infections,0,0,0,0.57,1,2,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,infections,0,0,0,0.43,0.5,1.85,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,prevalence,5,5,5,5.11,5,5.8,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Rt,2.55,2.69,2.74,2.74,2.81,2.94,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Reff,2.55,2.69,2.74,2.74,2.81,2.94,Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_infections,0,0,0,0.57,1,2,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,infections,0,0,0,0.43,0.5,1.85,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,prevalence,5,5,5,5.11,5,5.8,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Rt,2.55,2.69,2.74,2.74,2.81,2.94,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Reff,2.55,2.69,2.74,2.74,2.81,2.94,Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_infections,0.05,0.5,1,0.67,1,1,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,infections,0.05,0.5,1,0.67,1,1,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Rt,2.59,2.7,2.75,2.75,2.8,2.91,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Reff,2.59,2.7,2.75,2.75,2.8,2.91,Surged Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_infections,0.05,0.5,1,0.67,1,1,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,infections,0.05,0.5,1,0.67,1,1,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Rt,2.59,2.7,2.75,2.75,2.8,2.91,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Reff,2.59,2.7,2.75,2.75,2.8,2.91,Surged Maintain Status Quo,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,cumulative_infections,0.05,0.5,1,0.67,1,1,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,infections,0.05,0.5,1,0.67,1,1,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Rt,2.59,2.7,2.75,2.75,2.8,2.91,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-02,Reff,2.59,2.7,2.75,2.75,2.8,2.91,Surged Relax Interventions 50%,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-03,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-03,cumulative_infections,0,0,1,1.22,2,2.8,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-03,deaths,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-03,hospital_demand,0,0,0,0.05,0,0.5,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-03,hospital_incidence,0,0,0,0.11,0,0.8,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
2020-02-03,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Saudi Arabia,SAU,2021-04-06,v7,TRUE
