date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-23,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,deaths,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,infections,0,0,0,0,0,0,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,Rt,3.01,3.07,3.12,3.3,3.27,4.09,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,Reff,3.01,3.07,3.12,3.3,3.27,4.09,Additional 50% Reduction,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,deaths,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,infections,0,0,0,0,0,0,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,prevalence,5,5,5,5,5,5,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,Rt,3.01,3.07,3.12,3.3,3.27,4.09,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,Reff,3.01,3.07,3.12,3.3,3.27,4.09,Maintain Status Quo,Kuwait,KWT,2021-04-24,v7,TRUE
2020-02-23,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Kuwait,KWT,2021-04-24,v7,TRUE
