date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-04-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Rt,1.67,1.72,1.76,1.77,1.81,1.85,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Reff,1.67,1.72,1.76,1.77,1.81,1.85,Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Rt,1.67,1.72,1.76,1.77,1.81,1.85,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Reff,1.67,1.72,1.76,1.77,1.81,1.85,Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Rt,1.67,1.72,1.76,1.77,1.81,1.85,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Reff,1.67,1.72,1.76,1.77,1.81,1.85,Relax Interventions 50%,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Rt,1.67,1.74,1.77,1.77,1.8,1.86,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,Reff,1.67,1.74,1.77,1.77,1.8,1.86,Surged Additional 50% Reduction,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Rwanda,RWA,2021-05-22,v8,TRUE
