date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-01-30,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,infections,0,0,0,0,0,0,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,infections,0,0,0,0,0,0,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,prevalence,5,5,5,5,5,5,Maintain Status Quo,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,Peru,PER,2021-03-29,v7,TRUE
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Peru,PER,2021-03-29,v7,TRUE
