date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,infections,0,0,0,0,0,0,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Rt,1.82,1.97,2.02,2.01,2.07,2.15,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Reff,1.82,1.97,2.02,2.01,2.07,2.15,Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,infections,0,0,0,0,0,0,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,prevalence,5,5,5,5,5,5,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Rt,1.82,1.97,2.02,2.01,2.07,2.15,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Reff,1.82,1.97,2.02,2.01,2.07,2.15,Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,infections,0,0,0,0,0,0,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Rt,1.82,1.97,2.02,2.01,2.07,2.15,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Reff,1.82,1.97,2.02,2.01,2.07,2.15,Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Rt,1.81,1.96,2,2.01,2.08,2.18,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Reff,1.81,1.96,2,2.01,2.08,2.18,Surged Additional 50% Reduction,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Rt,1.81,1.96,2,2.01,2.08,2.18,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,Reff,1.81,1.96,2,2.01,2.08,2.18,Surged Maintain Status Quo,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
2020-05-26,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Papua New Guinea,PNG,2021-04-24,v7,TRUE
