date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Rt,3.22,3.29,3.32,3.33,3.37,3.45,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Reff,3.22,3.29,3.32,3.33,3.37,3.45,Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Rt,3.22,3.29,3.32,3.33,3.37,3.45,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Reff,3.22,3.29,3.32,3.33,3.37,3.45,Maintain Status Quo,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Rt,3.22,3.29,3.32,3.33,3.37,3.45,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Reff,3.22,3.29,3.32,3.33,3.37,3.45,Relax Interventions 50%,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Rt,3.23,3.29,3.32,3.33,3.36,3.45,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
2020-02-04,Reff,3.23,3.29,3.32,3.33,3.36,3.45,Surged Additional 50% Reduction,Greece,GRC,2021-02-10,v7,TRUE
