date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Bolivia,BOL,2021-02-10,v7,TRUE
