date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,infections,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,infections,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,prevalence,5,5,5,5,5,5,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,infections,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-11,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,infections,0,0,0,0,0,0,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,Rt,3,3.14,3.18,3.17,3.22,3.3,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,Reff,3,3.14,3.18,3.17,3.22,3.3,Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,infections,0,0,0,0,0,0,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,Rt,3,3.14,3.18,3.17,3.22,3.3,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,Reff,3,3.14,3.18,3.17,3.22,3.3,Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,infections,0,0,0,0,0,0,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,Rt,3,3.14,3.18,3.17,3.22,3.3,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,Reff,3,3.14,3.18,3.17,3.22,3.3,Relax Interventions 50%,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cyprus,CYP,2021-01-12,v6,TRUE
