date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-04-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,Rt,1.63,1.72,1.75,1.76,1.8,1.89,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,Reff,1.63,1.72,1.75,1.76,1.8,1.89,Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,Rt,1.63,1.72,1.75,1.76,1.8,1.89,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,Reff,1.63,1.72,1.75,1.76,1.8,1.89,Maintain Status Quo,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,Rt,1.63,1.72,1.75,1.76,1.8,1.89,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,Reff,1.63,1.72,1.75,1.76,1.8,1.89,Relax Interventions 50%,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
2020-04-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Rwanda,RWA,2021-06-11,v8,TRUE
