date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,Rt,4.66,4.75,4.84,4.82,4.88,4.98,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,Reff,4.66,4.75,4.84,4.82,4.88,4.98,Additional 50% Reduction,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,Rt,4.66,4.75,4.84,4.82,4.88,4.98,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,Reff,4.66,4.75,4.84,4.82,4.88,4.98,Maintain Status Quo,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Relax Interventions 50%,Portugal,PRT,2021-02-26,v7,TRUE
