date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,infections,0,0,0,0,0,0,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,Rt,2.85,2.93,2.97,2.97,3.01,3.1,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,Reff,2.85,2.93,2.97,2.97,3.01,3.1,Additional 50% Reduction,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,infections,0,0,0,0,0,0,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,prevalence,5,5,5,5,5,5,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
2020-02-07,Rt,2.85,2.93,2.97,2.97,3.01,3.1,Maintain Status Quo,Croatia,HRV,2021-04-06,v7,TRUE
