date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-04-12,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,deaths,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,infections,0,0,0,0,0,0,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,deaths,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,infections,0,0,0,0,0,0,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,deaths,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,infections,0,0,0,0,0,0,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
2020-04-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,French Guiana,GUF,2021-03-12,v7,TRUE
