date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-29,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,infections,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,Rt,2.62,3.14,3.45,3.47,3.75,4.45,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,infections,0,0,0,0,0,0,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,Rt,2.62,3.14,3.45,3.47,3.75,4.45,Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,infections,0,0,0,0,0,0,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,Rt,2.62,3.14,3.45,3.47,3.75,4.45,Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,Rt,2.7,3.19,3.47,3.52,3.78,4.59,Surged Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-02-29,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,Rt,2.7,3.19,3.47,3.52,3.78,4.59,Surged Maintain Status Quo,Gabon,GAB,2020-07-04,v3
2020-02-29,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-02-29,Rt,2.7,3.19,3.47,3.52,3.78,4.59,Surged Relax Interventions 50%,Gabon,GAB,2020-07-04,v3
2020-03-01,cumulative_infections,0,0,0,0.09,0,0.75,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-03-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
2020-03-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Gabon,GAB,2020-07-04,v3
