date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2021-05-16,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,infections,0,0,0,0,0,0,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Rt,1.32,1.32,1.32,1.32,1.32,1.32,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Reff,1.32,1.32,1.32,1.32,1.32,1.32,Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,infections,0,0,0,0,0,0,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,prevalence,5,5,5,5,5,5,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Rt,2.19,2.19,2.19,2.19,2.19,2.19,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Reff,2.19,2.19,2.19,2.19,2.19,2.19,Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,infections,0,0,0,0,0,0,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Rt,3.06,3.06,3.06,3.06,3.06,3.06,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Reff,3.06,3.06,3.06,3.06,3.06,3.06,Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Rt,3.06,3.06,3.06,3.06,3.06,3.06,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Reff,3.06,3.06,3.06,3.06,3.06,3.06,Surged Additional 50% Reduction,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Rt,3.06,3.06,3.06,3.06,3.06,3.06,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,Reff,3.06,3.06,3.06,3.06,3.06,3.06,Surged Maintain Status Quo,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
2021-05-16,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Turkmenistan,TKM,2021-05-16,v8,FALSE
