date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-08,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,infections,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,Rt,3.5,3.55,3.58,3.58,3.6,3.71,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,Reff,3.5,3.55,3.58,3.58,3.6,3.71,Additional 50% Reduction,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,infections,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,prevalence,5,5,5,5,5,5,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,Rt,3.5,3.55,3.58,3.58,3.6,3.71,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,Reff,3.5,3.55,3.58,3.58,3.6,3.71,Maintain Status Quo,Eswatini,SWZ,2021-05-16,v8,TRUE
2020-03-08,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2021-05-16,v8,TRUE
