date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,Rt,3.55,3.6,3.65,3.64,3.67,3.71,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,Reff,3.55,3.6,3.65,3.64,3.67,3.71,Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,infections,0,0,0,0,0,0,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,Rt,3.55,3.6,3.65,3.64,3.67,3.71,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,Reff,3.55,3.6,3.65,3.64,3.67,3.71,Maintain Status Quo,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,infections,0,0,0,0,0,0,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,Rt,3.55,3.6,3.65,3.64,3.67,3.71,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,Reff,3.55,3.6,3.65,3.64,3.67,3.71,Relax Interventions 50%,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Denmark,DNK,2021-05-10,v8,TRUE
