date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-18,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,infections,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,infections,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,prevalence,5,5,5,5,5,5,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,infections,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-18,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,deaths,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,prevalence,5.05,5.05,5.05,5.05,5.05,5.05,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,deaths,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,infections,0.62,0.62,0.62,0.62,0.62,0.62,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,prevalence,5.05,5.05,5.05,5.05,5.05,5.05,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,deaths,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,infections,0.62,0.62,0.62,0.62,0.62,0.62,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,prevalence,5.05,5.05,5.05,5.05,5.05,5.05,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-19,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Relax Interventions 50%,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,deaths,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,infections,0.84,0.84,0.84,0.84,0.84,0.84,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,prevalence,5.26,5.26,5.26,5.26,5.26,5.26,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,cumulative_infections,1.45,1.45,1.45,1.45,1.45,1.45,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,Rt,1.38,1.71,1.81,1.8,1.92,2.08,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,Reff,1.38,1.71,1.81,1.8,1.92,2.08,Additional 50% Reduction,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,deaths,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,infections,0.84,0.84,0.84,0.84,0.84,0.84,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,prevalence,5.26,5.26,5.26,5.26,5.26,5.26,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
2020-02-20,cumulative_infections,1.45,1.45,1.45,1.45,1.45,1.45,Maintain Status Quo,Burundi,BDI,2021-06-18,v8,TRUE
