date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-27,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,infections,0,0,0,0,0,0,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,Rt,1.6,1.71,1.78,1.8,1.89,2.04,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,Reff,1.6,1.71,1.78,1.8,1.89,2.04,Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,infections,0,0,0,0,0,0,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,prevalence,5,5,5,5,5,5,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,Rt,1.6,1.71,1.78,1.8,1.89,2.04,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,Reff,1.6,1.71,1.78,1.8,1.89,2.04,Maintain Status Quo,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,infections,0,0,0,0,0,0,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,Rt,1.6,1.71,1.78,1.8,1.89,2.04,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,Reff,1.6,1.71,1.78,1.8,1.89,2.04,Relax Interventions 50%,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
2020-03-27,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Madagascar,MDG,2021-04-24,v7,TRUE
