date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-11-09,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,deaths,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,infections,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Rt,1,1.19,1.32,1.3,1.38,1.61,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Reff,1,1.19,1.32,1.3,1.38,1.61,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,deaths,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,infections,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,prevalence,5,5,5,5,5,5,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Rt,1,1.19,1.32,1.3,1.38,1.61,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Reff,1,1.19,1.32,1.3,1.38,1.61,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,deaths,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,infections,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Rt,1,1.19,1.32,1.3,1.38,1.61,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Reff,1,1.19,1.32,1.3,1.38,1.61,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Rt,1,1.23,1.32,1.32,1.42,1.75,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Reff,1,1.23,1.32,1.32,1.42,1.75,Surged Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Rt,1,1.23,1.32,1.32,1.42,1.75,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Reff,1,1.23,1.32,1.32,1.42,1.75,Surged Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Rt,1,1.23,1.32,1.32,1.42,1.75,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-09,Reff,1,1.23,1.32,1.32,1.42,1.75,Surged Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,deaths,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,infections,0,0,0,0,0,0,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,Rt,1,1.19,1.32,1.3,1.38,1.61,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,Reff,1,1.19,1.32,1.3,1.38,1.61,Additional 50% Reduction,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,deaths,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,infections,0,0,0,0,0,0,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,prevalence,5,5,5,5,5,5,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,Rt,1,1.19,1.32,1.3,1.38,1.61,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,Reff,1,1.19,1.32,1.3,1.38,1.61,Maintain Status Quo,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
2020-11-10,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Grenada,GRD,2021-04-24,v7,TRUE
