date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,infections,0,0,0,0,0,0,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,Rt,3.58,3.69,3.76,3.75,3.81,3.89,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,Reff,3.58,3.69,3.76,3.75,3.81,3.89,Additional 50% Reduction,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,infections,0,0,0,0,0,0,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,prevalence,5,5,5,5,5,5,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,Rt,3.58,3.69,3.76,3.75,3.81,3.89,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,Reff,3.58,3.69,3.76,3.75,3.81,3.89,Maintain Status Quo,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,infections,0,0,0,0,0,0,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,Rt,3.58,3.69,3.76,3.75,3.81,3.89,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
2020-02-11,Reff,3.58,3.69,3.76,3.75,3.81,3.89,Relax Interventions 50%,Morocco,MAR,2021-01-18,v7,TRUE
