date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-04-04,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,Rt,2.62,2.73,2.78,2.78,2.82,2.94,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,Reff,2.62,2.73,2.78,2.78,2.82,2.94,Additional 50% Reduction,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,infections,0,0,0,0,0,0,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,Rt,2.62,2.73,2.78,2.78,2.82,2.94,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,Reff,2.62,2.73,2.78,2.78,2.82,2.94,Maintain Status Quo,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Central African Republic,CAF,2021-01-18,v7,TRUE
2020-04-04,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Central African Republic,CAF,2021-01-18,v7,TRUE
