date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-31,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,infections,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,infections,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,Rt,2.9,3.06,3.13,3.16,3.24,3.52,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,Rt,2.9,3.06,3.13,3.16,3.24,3.52,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-31,Rt,2.9,3.06,3.13,3.16,3.24,3.52,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,infections,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,infections,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,Rt,2.9,3.06,3.13,3.16,3.24,3.52,Surged Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,Rt,2.9,3.06,3.13,3.16,3.24,3.52,Surged Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-01,Rt,2.9,3.06,3.13,3.16,3.24,3.52,Surged Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-02-02,cumulative_infections,1,1,1,1,1,1,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,infections,1,1,1,1,1,1,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-02-02,Rt,2.79,3.02,3.12,3.13,3.23,3.46,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
