date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2021-02-26,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,infections,0,0,0,0,0,0,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,Rt,1.86,2.26,2.76,2.84,3.31,4.36,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,Reff,1.86,2.26,2.76,2.84,3.31,4.36,Additional 50% Reduction,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,infections,0,0,0,0,0,0,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,prevalence,5,5,5,5,5,5,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,Rt,1.86,2.26,2.76,2.84,3.31,4.36,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
2021-02-26,Reff,1.86,2.26,2.76,2.84,3.31,4.36,Maintain Status Quo,Vanuatu,VUT,2021-04-24,v7,TRUE
