date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-03,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,deaths,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,infections,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,Rt,2.11,2.16,2.21,2.21,2.24,2.32,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,Reff,2.11,2.16,2.21,2.21,2.24,2.32,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,deaths,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,infections,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,prevalence,5,5,5,5,5,5,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,Rt,2.11,2.16,2.21,2.21,2.24,2.32,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,Reff,2.11,2.16,2.21,2.21,2.24,2.32,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,deaths,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,infections,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,Rt,2.11,2.16,2.21,2.21,2.24,2.32,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-03,Reff,2.11,2.16,2.21,2.21,2.24,2.32,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,Rt,2.11,2.16,2.21,2.21,2.24,2.32,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,Reff,2.11,2.16,2.21,2.21,2.24,2.32,Additional 50% Reduction,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,Rt,2.11,2.16,2.21,2.21,2.24,2.32,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,Reff,2.11,2.16,2.21,2.21,2.24,2.32,Maintain Status Quo,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Uzbekistan,UZB,2021-04-17,v7,TRUE
