date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,deaths,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,infections,0,0,0,0,0,0,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,prevalence,5,5,5,5,5,5,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,Rt,3.48,3.57,3.62,3.62,3.66,3.75,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,Reff,3.48,3.57,3.62,3.62,3.66,3.75,Additional 50% Reduction,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,deaths,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
2020-02-15,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,United Arab Emirates,ARE,2021-02-03,v7,TRUE
