date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-21,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,infections,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,infections,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,prevalence,5,5,5,5,5,5,Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,infections,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Nepal,NPL,2021-01-12,v6,TRUE
2020-03-21,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2021-01-12,v6,TRUE
