date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Rt,3.55,3.61,3.67,3.68,3.76,3.83,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Reff,3.55,3.61,3.67,3.68,3.76,3.83,Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Rt,3.55,3.61,3.67,3.68,3.76,3.83,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Reff,3.55,3.61,3.67,3.68,3.76,3.83,Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Rt,3.55,3.61,3.67,3.68,3.76,3.83,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Reff,3.55,3.61,3.67,3.68,3.76,3.83,Relax Interventions 50%,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Rt,3.54,3.62,3.71,3.71,3.79,3.85,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Reff,3.54,3.62,3.71,3.71,3.79,3.85,Surged Additional 50% Reduction,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Rt,3.54,3.62,3.71,3.71,3.79,3.85,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
2020-02-10,Reff,3.54,3.62,3.71,3.71,3.79,3.85,Surged Maintain Status Quo,Colombia,COL,2021-03-19,v7,TRUE
