date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-08-24,Rt,1.75,1.89,1.97,1.96,2.03,2.17,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Reff,1.74,1.88,1.96,1.95,2.02,2.16,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,deaths,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,infections,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Rt,1.75,1.89,1.97,1.96,2.03,2.17,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Reff,1.74,1.88,1.96,1.95,2.02,2.16,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Rt,1.8,1.91,1.98,1.98,2.05,2.18,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Reff,1.79,1.9,1.97,1.97,2.04,2.17,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Rt,1.8,1.91,1.98,1.98,2.05,2.18,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Reff,1.79,1.9,1.97,1.97,2.04,2.17,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Rt,1.8,1.91,1.98,1.98,2.05,2.18,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-24,Reff,1.79,1.9,1.97,1.97,2.04,2.17,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_infections,0,0,0,0.31,1,1.15,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,infections,0,0,0,0.31,1,1.15,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,prevalence,5,5,5,5.04,5,5.3,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Rt,1.75,1.89,1.97,1.96,2.03,2.17,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Reff,1.74,1.88,1.96,1.95,2.02,2.16,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_infections,0,0,0,0.31,1,1.15,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,deaths,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,infections,0,0,0,0.31,1,1.15,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,prevalence,5,5,5,5.04,5,5.3,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Rt,1.75,1.89,1.97,1.96,2.03,2.17,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Reff,1.74,1.88,1.96,1.95,2.02,2.16,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_infections,0,0,0,0.31,1,1.15,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,deaths,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,infections,0,0,0,0.31,1,1.15,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,prevalence,5,5,5,5.04,5,5.3,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Rt,1.75,1.89,1.97,1.96,2.03,2.17,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Reff,1.74,1.88,1.96,1.95,2.02,2.16,Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_infections,0,0,0,0.21,0,1,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,infections,0,0,0,0.21,0,1,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,prevalence,5,5,5,5.02,5,5,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Rt,1.8,1.91,1.98,1.98,2.05,2.18,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Reff,1.79,1.9,1.97,1.97,2.04,2.17,Surged Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_infections,0,0,0,0.21,0,1,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,infections,0,0,0,0.21,0,1,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,prevalence,5,5,5,5.02,5,5,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Rt,1.8,1.91,1.98,1.98,2.05,2.18,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Reff,1.79,1.9,1.97,1.97,2.04,2.17,Surged Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,cumulative_infections,0,0,0,0.21,0,1,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,infections,0,0,0,0.21,0,1,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,prevalence,5,5,5,5.02,5,5,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Rt,1.8,1.91,1.98,1.98,2.05,2.18,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-25,Reff,1.79,1.9,1.97,1.97,2.04,2.17,Surged Relax Interventions 50%,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,cumulative_infections,0,0,1,0.74,1,2,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,infections,0,0,0,0.58,1,2,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,prevalence,4,5,5,5.19,5,7.77,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,Rt,1.75,1.89,1.97,1.96,2.03,2.17,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,Reff,1.74,1.88,1.96,1.95,2.02,2.16,Additional 50% Reduction,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,cumulative_infections,0,0,1,0.74,1,2,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,infections,0,0,0,0.58,1,2,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
2020-08-26,prevalence,4,5,5,5.19,5,7.77,Maintain Status Quo,Iceland,ISL,2021-01-18,v7,TRUE
