date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Rt,1.96,2.03,2.07,2.07,2.1,2.17,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Reff,1.96,2.03,2.07,2.07,2.1,2.17,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Rt,1.96,2.03,2.07,2.07,2.1,2.17,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Reff,1.96,2.03,2.07,2.07,2.1,2.17,Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Rt,1.96,2.03,2.07,2.07,2.1,2.17,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Reff,1.96,2.03,2.07,2.07,2.1,2.17,Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Rt,1.98,2.04,2.07,2.07,2.11,2.18,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Reff,1.98,2.04,2.07,2.07,2.11,2.18,Surged Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Rt,1.98,2.04,2.07,2.07,2.11,2.18,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Reff,1.98,2.04,2.07,2.07,2.11,2.18,Surged Maintain Status Quo,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Rt,1.98,2.04,2.07,2.07,2.11,2.18,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-01,Reff,1.98,2.04,2.07,2.07,2.11,2.18,Surged Relax Interventions 50%,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,cumulative_infections,0.02,0.25,0.5,0.5,0.75,0.98,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
2020-02-02,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2021-03-12,v7,TRUE
