date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-11-11,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,infections,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,Rt,1.81,1.93,1.98,2.42,3.33,3.7,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,Reff,1.81,1.93,1.98,2.42,3.33,3.7,Additional 50% Reduction,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,infections,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,prevalence,5,5,5,5,5,5,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,Rt,1.81,1.93,1.98,2.42,3.33,3.7,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,Reff,1.81,1.93,1.98,2.42,3.33,3.7,Maintain Status Quo,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-05-16,v8,TRUE
2020-11-11,infections,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-05-16,v8,TRUE
