date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-06-05,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,deaths,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,deaths,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,infections,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,deaths,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,infections,0,0,0,0,0,0,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,cumulative_infections,0,0,0,0.36,1,1,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,deaths,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,infections,0,0,0,0.36,1,1,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,prevalence,5,5,5,5.04,5,5,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,Rt,2.56,2.76,2.99,2.99,3.23,3.43,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,Reff,2.56,2.76,2.99,2.99,3.23,3.43,Additional 50% Reduction,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,cumulative_infections,0,0,0,0.36,1,1,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,deaths,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
2020-06-06,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Vietnam,VNM,2021-02-03,v7,TRUE
